success,postal_code_used,selected_store,product_name,brand,attributes,price,price_per_unit,nutri_score,ean,description,ingredients,conservation,url,error
True,75001,My Auchan Click&collect Paris Pierre Nicole,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.61,"30,08€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,13001,Auchan Drive Supermarché Marseille Saint-Lazare,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.19,"26,58€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,69001,Auchan Drive Supermarché Caluire,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.15,"26,25€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,59000,Auchan Drive Villeneuve D'Ascq (Lezennes),Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,2.85,"23,75€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,31000,Auchan Drive Supermarché Toulouse Pontjumeaux,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.19,"26,58€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,33000,Auchan Drive Supermarché Counord,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.15,"26,25€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,44000,Auchan Drive Nantes Saint-Herblain,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,2.39,"19,92€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,06000,Auchan Drive Supermarché Nice Montel,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.49,"29,08€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,67000,Auchan Drive Supermarché Strasbourg (Robertsau),Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.19,"26,58€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
True,34000,Auchan Drive Supermarché Montpellier Mas Drevon,Jambon Le Torchon réduit en sel,FLEURY MICHON,120g | 4 tranches,3.15,"26,25€ / kg",D,Non trouvé,Non trouvé,Non trouvé,Non trouvé,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,
