success,url,postal_code_used,zone_type,selected_store,main_price,product_name_debug,error,attempt
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,95400,Grande Ville,Auchan Drive Sarcelles,2.83€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,95520,Grande Ville,Auchan Drive Osny,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,95600,Grande Ville,Auchan Drive Taverny,2.92€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/loue-oeufs-de-poules-elevees-en-plein-air-bio/pr-C1177853,95400,Grande Ville,Auchan Drive Sarcelles,5.96€,Œufs de poules élevées en plein air bio,,1
True,https://www.auchan.fr/loue-oeufs-de-poules-elevees-en-plein-air-bio/pr-C1177853,95520,Grande Ville,Auchan Drive Osny,5.79€,Œufs de poules élevées en plein air bio,,1
True,https://www.auchan.fr/loue-oeufs-de-poules-elevees-en-plein-air-bio/pr-C1177853,95600,Grande Ville,Auchan Drive Taverny,6.07€,Œufs de poules élevées en plein air bio,,1
True,https://www.auchan.fr/president-camembert-au-lait-pasteurise/pr-C1180565,95400,Grande Ville,Auchan Drive Sarcelles,1.85€,Camembert au lait pasteurisé,,1
True,https://www.auchan.fr/president-camembert-au-lait-pasteurise/pr-C1180565,95520,Grande Ville,Auchan Drive Osny,1.85€,Camembert au lait pasteurisé,,1
True,https://www.auchan.fr/president-camembert-au-lait-pasteurise/pr-C1180565,95600,Grande Ville,Auchan Drive Taverny,1.85€,Camembert au lait pasteurisé,,1
True,https://www.auchan.fr/veloute-yaourt-brasse-nature/pr-C1169783,95400,Grande Ville,Auchan Drive Sarcelles,2.56€,Yaourt brassé nature,,1
True,https://www.auchan.fr/veloute-yaourt-brasse-nature/pr-C1169783,95520,Grande Ville,Auchan Drive Osny,2.45€,Yaourt brassé nature,,1
True,https://www.auchan.fr/veloute-yaourt-brasse-nature/pr-C1169783,95600,Grande Ville,Auchan Drive Taverny,2.56€,Yaourt brassé nature,,1
True,https://www.auchan.fr/le-gaulois-filets-de-poulet-blanc-fermier/pr-C1158318,95400,Grande Ville,Auchan Drive Sarcelles,4.99€,Filets de poulet blanc fermier,,1
True,https://www.auchan.fr/le-gaulois-filets-de-poulet-blanc-fermier/pr-C1158318,95520,Grande Ville,Auchan Drive Osny,5.29€,Filets de poulet blanc fermier,,1
True,https://www.auchan.fr/le-gaulois-filets-de-poulet-blanc-fermier/pr-C1158318,95600,Grande Ville,Auchan Drive Taverny,5.29€,Filets de poulet blanc fermier,,1
True,https://www.auchan.fr/auchan-baby-carottes/pr-C1460923,95400,Grande Ville,Auchan Drive Sarcelles,1.72€,Baby carottes,,1
True,https://www.auchan.fr/auchan-baby-carottes/pr-C1460923,95520,Grande Ville,Auchan Drive Osny,1.72€,Baby carottes,,1
True,https://www.auchan.fr/auchan-baby-carottes/pr-C1460923,95600,Grande Ville,Auchan Drive Taverny,1.72€,Baby carottes,,1
True,https://www.auchan.fr/pommes-pink-lady/pr-C1350629,95400,Grande Ville,Auchan Drive Sarcelles,1.99€,Pommes Pink Lady,,1
True,https://www.auchan.fr/pommes-pink-lady/pr-C1350629,95520,Grande Ville,Auchan Drive Osny,3.49€,Pommes Pink Lady,,1
True,https://www.auchan.fr/pommes-pink-lady/pr-C1350629,95600,Grande Ville,Auchan Drive Taverny,3.49€,Pommes Pink Lady,,1
True,https://www.auchan.fr/bananes-prix-bas/pr-C1774822,95400,Grande Ville,Auchan Drive Sarcelles,0.99€,Bananes Prix Bas,,1
True,https://www.auchan.fr/bananes-prix-bas/pr-C1774822,95520,Grande Ville,Auchan Drive Osny,0.99€,Bananes Prix Bas,,1
True,https://www.auchan.fr/bananes-prix-bas/pr-C1774822,95600,Grande Ville,Auchan Drive Taverny,0.99€,Bananes Prix Bas,,1
True,https://www.auchan.fr/lactel-lait-demi-ecreme-uht/pr-C1178046,95400,Grande Ville,Auchan Drive Sarcelles,7.56€,Lait demi-écrémé UHT,,1
