success,url,postal_code_used,zone_type,selected_store,main_price,product_name_debug,error,attempt
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13003,Grande Ville,Auchan Drive Supermarché Marseille Saint-Lazare,3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13008,Grande Ville,Auchan Drive Marseille Saint-Loup,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13009,Grande Ville,Auchan Drive Marseille Saint-Loup,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13010,Grande Ville,Auchan Drive Marseille Saint-Loup,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13011,Grande Ville,Auchan Drive Marseille La Valentine,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13012,Grande Ville,Auchan Drive Supermarché Marseille Les Caillols,3.09€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13013,Grande Ville,Auchan Drive Supermarché Marseille Les Caillols,3.09€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,13090,Grande Ville,Auchan Drive Aix En Provence,2.77€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,31000,Grande Ville,Auchan Drive Supermarché Toulouse Pontjumeaux,3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,31170,Grande Ville,Auchan Drive Supermarché Tournefeuille,3.05€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,31200,Grande Ville,Auchan Drive Supermarché Toulouse Pontjumeaux,3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,31400,Grande Ville,Auchan Drive Supermarché Toulouse Pontjumeaux,3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33000,Grande Ville,Auchan Drive Supermarché Counord,3.15€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33130,Grande Ville,Auchan Drive Bordeaux Bouliac,2.50€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33140,Grande Ville,Auchan Drive Villenave D'Ornon,2.66€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33170,Grande Ville,Auchan Drive Supermarché Gradignan,2.99€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33200,Grande Ville,Auchan Drive Supermarché Counord,3.15€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33270,Grande Ville,Auchan Drive Supermarché Benauge,3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33300,Grande Ville,Auchan Drive Supermarché Counord,3.15€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33400,Grande Ville,Auchan Drive Supermarché Talence-Gallieni,3.09€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33600,Grande Ville,Auchan Drive Pessac,2.66€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,33700,Grande Ville,Auchan Drive Supermarché Robinson,3.09€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,34070,Grande Ville,Auchan Drive Supermarché Montpellier Mas Drevon,3.15€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,44230,Grande Ville,Auchan Drive Saint Sebastien,2.60€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,44600,Grande Ville,Auchan Drive Saint-Nazaire Trignac,2.45€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,44800,Grande Ville,Auchan Drive Nantes Saint-Herblain,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,54000,Grande Ville,Auchan Drive Tomblaine,2.85€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,57000,Grande Ville,Auchan Drive Semécourt (Metz),2.75€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,57050,Grande Ville,Auchan Drive Semécourt (Metz),2.75€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,57070,Grande Ville,Auchan Drive Semécourt (Metz),2.75€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59000,Grande Ville,Auchan Drive Villeneuve D'Ascq (Lezennes),2.85€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59139,Grande Ville,Auchan Drive Faches-Thumesnil,2.65€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59300,Grande Ville,Auchan Drive Valenciennes,2.39€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59650,Grande Ville,Auchan Drive Villeneuve D'Ascq (Lezennes),2.85€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59790,Grande Ville,Auchan Drive Faches-Thumesnil,2.65€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,59810,Grande Ville,Auchan Drive Supermarché Lesquin,3.15€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,67000,Grande Ville,Auchan Drive Supermarché Strasbourg (Robertsau),3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,67200,Grande Ville,Auchan Drive Supermarché Strasbourg (Robertsau),3.19€,Jambon Le Torchon réduit en sel,,1
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,67300,Grande Ville,Auchan Drive Supermarché Strasbourg (Robertsau),3.19€,Jambon Le Torchon réduit en sel,,1
