Unité urbaine 2020;Libellé géographique de l'unité urbaine 2020;Tranche d'unité urbaine 2020 calculée sur la population 2017;Tranche détaillée d'unité urbaine 2020 calculée sur la population 2017;Type d'unité urbaine;Nombre communes
UU2020;LIBUU2020;TUU2017;TDUU2017;TYPE_UU2020;NB_COM
00151;Lécluse;1;11;3;2
00152;Olonzac;1;11;3;2
00153;Cussey-sur-l'Ognon;1;11;3;3
00154;Aumale;1;11;4;2
00155;Gouy-sous-Bellonne;1;11;3;2
00156;Bessé-sur-Braye;1;12;4;2
00157;Incheville;1;13;4;3
00158;Gamaches;1;13;4;2
00159;Entre-deux-Guiers;1;13;3;3
00160;Sablons;1;13;3;2
00161;Arleux;1;13;3;2
00162;Blangy-sur-Bresle;1;13;4;2
00163;Vayrac;1;14;4;6
00164;Saint-Georges-sur-Cher;1;14;3;3
00165;Seyssel;1;14;3;3
00166;Saint-Ouen-de-Thouberville;1;14;3;4
00167;Châtenois-les-Forges;1;14;3;3
00251;Pontacq;2;21;4;5
00252;Plestin-les-Grèves;2;21;3;2
00253;Ivry-la-Bataille;2;21;4;3
00254;Montréjeau;2;21;3;5
00255;Descartes;2;21;4;3
00256;Chazelles-sur-Lyon;2;21;3;2
00257;Chauffailles;2;21;4;5
00258;Chagny;2;21;3;2
00259;Castillon-la-Bataille;2;21;3;4
00260;Aire-sur-l'Adour;2;22;4;2
00261;Terrasson-Lavilledieu;2;22;3;2
00262;Raon-l'Étape;2;22;3;3
00263;Condé-en-Normandie;2;22;3;2
00264;Beaucourt;2;22;3;4
00265;Le Malesherbois;2;22;4;2
00266;Souppes-sur-Loing;2;22;4;2
00267;Carhaix-Plouguer;2;22;3;3
00268;Saint-Rambert-d'Albon;2;22;3;2
00269;Pontcharra;2;22;3;5
00270;Digoin;2;22;4;3
00351;Brassac-les-Mines;3;31;3;6
00352;Montpon-Ménestérol;3;31;3;7
00353;Saint-Vallier;3;31;3;7
00354;Épernon;3;31;4;6
00355;Ézy-sur-Eure;3;31;4;7
00356;Saint-Lubin-des-Joncherets-Nonancourt;3;31;4;5
00357;Gisors;3;31;4;3
00358;Allevard;3;31;3;9
00359;Eu;3;32;4;6
00360;Valserhône;3;32;3;2
00361;Le Grau-du-Roi;3;32;3;2
00362;Clisson;4;41;3;4
00451;Belleville-en-Beaujolais;4;41;3;5
00452;Esch-sur-Alzette (LUX)-Villerupt (partie française);4;41;5;5
00453;Le Pont-de-Beauvoisin;4;41;3;13
00454;Honfleur;4;41;3;12
00455;Jœuf;4;41;3;6
00456;Redon;4;41;4;6
00457;Saint-Laurent-de-la-Salanque;4;41;3;4
00458;Marmande;4;42;3;10
00459;Tournon-sur-Rhône;4;43;3;8
00460;Saint-Dizier;4;43;3;6
00461;Beaucaire;4;43;4;2
00462;Dinard;4;43;3;9
00463;Persan-Beaumont-sur-Oise;4;43;4;6
00464;Alençon;4;44;4;8
00465;Sallanches;4;44;3;12
00551;Lunel;5;51;3;9
00552;Arles;5;51;4;2
00553;Montélimar;5;51;3;7
00554;Mâcon;5;51;4;16
00555;Bergerac;5;51;3;22
00556;Saint-Omer;5;52;3;23
00557;Brive-la-Gaillarde;5;52;3;12
00558;Belfort;5;52;3;16
