Categorie Ville;Code Postal;Terme Recherche;Produit Initial;Nom Produit Extrait;Prix par Kilo/Unité
Grande Ville;95000;Raisins;Raisins;Raisins sans pépins;7,58€ / kg
Grande Ville;95000;Raisins;Raisins;BJORG Muesli de céréales bio raisin figue datte et abricot sans sucre ajoutés;5,73€ / kg
Grande Ville;95000;Raisins;Raisins;AUCHAN RIK & ROK Raisins roses sans pépins;7,98€ / kg
Grande Ville;95000;Raisins;Raisins;AUCHAN BIO Raisins secs sultanines;13,09€ / kg
Grande Ville;95000;Raisins;Raisins;COTE D'OR Tablette de chocolat au lait raisins et noisettes entières;16,17€ / kg
Grande Ville;95000;Tomates;Tomates;Tomates rondes en grappe;0,85€ / pce
Grande Ville;95000;Tomates;Tomates;Tomates cerises prix bas;3,96€ / kg
Grande Ville;95000;Tomates;Tomates;Tomates cerises mélangées;6,73€ / kg
Grande Ville;95000;Tomates;Tomates;Tomates rondes prix bas;1,99€ / kg
Grande Ville;95000;Tomates;Tomates;Tomates cerises mélangées;4,49€ / kg
Grande Ville;95000;Carottes;Carottes;Carottes zéro résidu de pesticides;2,52€ / kg
Grande Ville;95000;Carottes;Carottes;AUCHAN BIO CULTIVONS LE BON Carottes;2,19€ / kg
Grande Ville;95000;Carottes;Carottes;AUCHAN Carottes;1,99€ / kg
Grande Ville;95000;Carottes;Carottes;AUCHAN Petits pois carottes à l'étuvée extra-fins;2,40€ / kg
Grande Ville;95000;Carottes;Carottes;BONDUELLE Carottes râpées au citron de Sicile;3,75€ / kg
Grande Ville;95000;Oignons;Oignons;Oignons prix bas;1,15€ / kg
Grande Ville;95000;Oignons;Oignons;Oignons rouges;4,98€ / kg
Grande Ville;95000;Oignons;Oignons;Oignons sélection;1,69€ / kg
Grande Ville;95000;Oignons;Oignons;AUCHAN BIO Oignons;2,69€ / kg
Grande Ville;95000;Oignons;Oignons;AUCHAN Oignons émincés;1,85€ / kg
