Categorie Ville;Code Postal;Nom Magasin Sélectionné;Terme Recherche;Nom Produit Extrait;Prix par Kilo/Unité
Grande Ville;95000;Auchan Drive Cergy;Lait;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Lait demi-écrémé UHT;1,10€ / l
Grande Ville;95000;Auchan Drive Cergy;Lait;GRANOLA Biscuits sablés nappés de chocolat au lait;6,77€ / kg
Grande Ville;95000;Auchan Drive Cergy;Oeufs;AUCHAN Oeufs de poules élevées en plein air;0,25€ / pce
Grande Ville;95000;Auchan Drive Cergy;Oeufs;AUCHAN BIO Oeufs de poules élevées en plein air;0,35€ / pce
Grande Ville;95000;Auchan Drive Cergy;Yaourts nature;AUCHAN BIO Yaourt au lait entier nature;1,72€ / kg
Grande Ville;95000;Auchan Drive Cergy;Yaourts nature;DANONE Yaourt nature;1,63€ / kg
Grande Ville;95000;Auchan Drive Cergy;Fromage;AUCHAN Emmental râpé français;9,48€ / kg
Grande Ville;95000;Auchan Drive Cergy;Fromage;AUCHAN Emmental râpé français;8,45€ / kg
Grande Ville;95000;Auchan Drive Cergy;Beurre;AUCHAN Beurre tendre doux;9,80€ / kg
Grande Ville;95000;Auchan Drive Cergy;Beurre;PRESIDENT Beurre gastronomique doux;10,80€ / kg
Grande Ville;95000;Auchan Drive Cergy;Pain complet;AUCHAN Pain de mie complet avec croûte spécial sandwich;2,24€ / kg
Grande Ville;95000;Auchan Drive Cergy;Pain complet;HARRYS 100% Mie Pain de mie complet sans croûte sans additifs;4,12€ / kg
Grande Ville;95000;Auchan Drive Cergy;Raisins;Raisins sans pépins;7,58€ / kg
Grande Ville;95000;Auchan Drive Cergy;Raisins;BJORG Muesli de céréales bio raisin figue datte et abricot sans sucre ajoutés;5,73€ / kg
Grande Ville;95000;Auchan Drive Cergy;Tomates;Tomates rondes en grappe;0,85€ / pce
Grande Ville;95000;Auchan Drive Cergy;Tomates;Tomates cerises prix bas;3,96€ / kg
Grande Ville;95000;Auchan Drive Cergy;Carottes;Carottes zéro résidu de pesticides;2,52€ / kg
Grande Ville;95000;Auchan Drive Cergy;Carottes;AUCHAN BIO CULTIVONS LE BON Carottes;2,19€ / kg
Grande Ville;95000;Auchan Drive Cergy;Oignons;Oignons prix bas;1,15€ / kg
Grande Ville;95000;Auchan Drive Cergy;Oignons;Oignons rouges;4,98€ / kg
Grande Ville;95000;Auchan Drive Cergy;Salade;Cœur de laitue prix bas;0,43€ / pce
Grande Ville;95000;Auchan Drive Cergy;Salade;Salade batavia;1,69€ / pce
Grande Ville;95000;Auchan Drive Cergy;Concombres;Concombre;1,69€ / pce
Grande Ville;95000;Auchan Drive Cergy;Concombres;AUCHAN BIO Concombre;2,29€ / pce
Grande Ville;95000;Auchan Drive Cergy;Poivrons;Poivrons panachés;5,78€ / kg
Grande Ville;95000;Auchan Drive Cergy;Poivrons;Poivron rouge;1,12€ / pce
Grande Ville;95000;Auchan Drive Cergy;Papier toilette;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0,38€ / pce
Grande Ville;95000;Auchan Drive Cergy;Papier toilette;FLOREX Papier toilette blanc 2 épaisseurs;0,21€ / pce
Grande Ville;95000;Auchan Drive Cergy;Liquide vaisselle;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;2,52€ / l
Grande Ville;95000;Auchan Drive Cergy;Liquide vaisselle;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1,76€ / l
Grande Ville;95000;Auchan Drive Cergy;Dentifrice;SIGNAL Dentifrice protection caries fluor & calcium;13,73€ / l
Grande Ville;95000;Auchan Drive Cergy;Dentifrice;SIGNAL Dentifrice haleine pure;18,40€ / l
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Lait;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Lait demi-écrémé UHT;1,10€ / l
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Lait;GRANOLA Biscuits sablés nappés de chocolat au lait;7,93€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Oeufs;AUCHAN Oeufs de poules élevées en plein air;0,25€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Oeufs;AUCHAN Oeufs de poules élevées en plein air;0,26€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Yaourts nature;DANONE Yaourt nature;1,80€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Yaourts nature;LES 300 LAITIERS BIO Yaourt nature;2,25€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Fromage;AUCHAN Emmental râpé français;9,48€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Fromage;AUCHAN Emmental râpé français;8,45€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Beurre;AUCHAN Beurre tendre doux;9,80€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Beurre;PRESIDENT Beurre gastronomique doux;11,12€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Pain complet;AUCHAN Pain de mie complet avec croûte spécial sandwich;2,24€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Pain complet;HARRYS 100% Mie Pain de mie complet sans croûte sans additifs;4,74€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Raisins;BJORG Muesli de céréales bio raisin figue datte et abricot sans sucre ajoutés;6,93€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Raisins;COTE D'OR Tablette de chocolat au lait raisins et noisettes entières;17,61€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Tomates;Tomates cerises prix bas;5,16€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Tomates;Tomates rondes prix bas;1,99€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Carottes;AUCHAN Carottes;1,99€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Carottes;AUCHAN Petits pois carottes à l'étuvée extra-fins;2,40€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Oignons;Oignons prix bas;1,15€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Oignons;Oignons rouges;4,98€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Salade;Cœur de laitue prix bas;0,43€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Salade;Salade batavia;1,75€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Concombres;Concombre;1,79€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Concombres;AUCHAN Tzatziki fromage frais et concombre;7,55€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Poivrons;Poivrons panachés;5,38€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Poivrons;AUCHAN Trio de poivrons en lanières;3,65€ / kg
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Papier toilette;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0,38€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Papier toilette;AUCHAN Papier Toilette blanc ultra doux et moelleux 3 épaisseurs;0,40€ / pce
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Liquide vaisselle;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1,76€ / l
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Liquide vaisselle;MIR Liquide vaisselle au vinaigre et framboise;4,87€ / l
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Dentifrice;SIGNAL Dentifrice protection caries fluor & calcium;14,53€ / l
Grande Ville;76240;Auchan Drive Supermarché Canteleu;Dentifrice;SIGNAL Dentifrice haleine pure;26,00€ / l
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Lait;GRANOLA Biscuits sablés nappés de chocolat au lait;8,15€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Lait;CHAUSSEE AUX MOINES Fromage au lait de vache pasteurisé;8,91€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Oeufs;AUCHAN BIO Oeufs de poules élevées en plein air;0,35€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Oeufs;AUCHAN Oeufs de poules élevées en plein air Label Rouge;0,32€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Yaourts nature;DANONE Yaourt nature;1,68€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Yaourts nature;DANONE Yaourt nature;1,98€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Fromage;AUCHAN Emmental râpé français;9,48€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Fromage;AUCHAN Emmental râpé français;8,45€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Beurre;AUCHAN Beurre tendre doux;9,80€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Beurre;PRESIDENT Beurre gastronomique doux;11,00€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Pain complet;AUCHAN Pain de mie complet avec croûte spécial sandwich;2,24€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Pain complet;HARRYS 100% Mie Pain de mie complet sans croûte sans additifs;4,66€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Raisins;Raisins sans pépins;9,90€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Raisins;BJORG Muesli de céréales bio raisin figue datte et abricot sans sucre ajoutés;6,83€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Tomates;Tomates cerises prix bas;3,96€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Tomates;Tomates cerises mélangées;6,73€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Carottes;Carottes zéro résidu de pesticides;2,65€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Carottes;AUCHAN BIO CULTIVONS LE BON Carottes;1,99€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Oignons;Oignons prix bas;1,15€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Oignons;Oignons rouges;4,98€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Salade;Cœur de laitue prix bas;0,43€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Salade;Salade batavia;1,49€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Concombres;Concombre;1,69€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Concombres;AUCHAN BIO Concombre;2,39€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Poivrons;Poivrons panachés;5,78€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Poivrons;AUCHAN Trio de poivrons en lanières;3,65€ / kg
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Papier toilette;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0,38€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Papier toilette;AUCHAN Papier Toilette blanc ultra doux et moelleux 3 épaisseurs;0,40€ / pce
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Liquide vaisselle;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;3,21€ / l
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Liquide vaisselle;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1,76€ / l
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Dentifrice;SIGNAL Dentifrice protection caries fluor & calcium;11,87€ / l
Grande Ville;13003;Auchan Drive Supermarché Marseille Saint-Lazare;Dentifrice;SIGNAL Dentifrice haleine pure;24,40€ / l
Grande Ville;31000;Auchan Drive Supermarché Toulouse Pontjumeaux;Lait;GRANOLA Biscuits sablés nappés de chocolat au lait;8,15€ / kg
Grande Ville;31000;Auchan Drive Supermarché Toulouse Pontjumeaux;Lait;CHAUSSEE AUX MOINES Fromage au lait de vache pasteurisé;9,38€ / kg
Grande Ville;31000;Auchan Drive Supermarché Toulouse Pontjumeaux;Oeufs;AUCHAN Oeufs de poules élevées en plein air;0,25€ / pce
Grande Ville;31000;Auchan Drive Supermarché Toulouse Pontjumeaux;Oeufs;AUCHAN BIO Oeufs de poules élevées en plein air;0,35€ / pce
